Image 0| Score: -0.5694 | Improved by Teacher| Green commercial building with refrigerator and refrigeration units outside.
Image 1790| Score: 1.6312 | Kept from Student| A very nice looking scooter with some veggies.
Image 1791| Score: 1.7679 | Kept from Student| A young woman wearing red and blue holding a white and yellow Frisbee.
Image 1792| Score: 0.3590 | Improved by Teacher| Many items including plastic cups have been placed beside computer.
Image 1793| Score: -0.6194 | Improved by Teacher| A small herd of buffalo resting on the ither side of the stream.
Image 1794| Score: -0.7738 | Improved by Teacher| a surfer is riding a wave on a blue and white board
Image 1795| Score: 0.1244 | Improved by Teacher| a very big building with a long fence by it
Image 1796| Score: 0.1620 | Improved by Teacher| The little boy is having fun playing at the computer keybord
Image 1797| Score: 1.1164 | Kept from Student| Open book with a magazine cover of motorcycle
Image 1798| Score: -1.3897 | Improved by Teacher| a white couch  and a mattress on the ground and some cupboards
Image 1799| Score: 0.8168 | Kept from Student| Urinals in a bathroom seperated by a glass wall.
Image 1800| Score: 1.4238 | Kept from Student| A tall refrigerator freezer in front of an iron gate.
Image 1801| Score: -0.1660 | Improved by Teacher| A man placing pizza on a plate through an opening.
Image 1802| Score: 0.7472 | Kept from Student| Two trains are side by side at the end of the tracks
Image 1803| Score: 0.7539 | Kept from Student| A bowl is full of fresh fruits and vegetables.
Image 1804| Score: 1.4558 | Kept from Student| a train travels along a curved forest track.
Image 1805| Score: 0.5411 | Improved by Teacher| Old fashioned photo of city street with car
Image 1806| Score: 0.9520 | Kept from Student| A yellow and burgundy train that is on tracks. 
Image 1807| Score: -1.9176 | Improved by Teacher| an image of a large building with a clock
Image 1808| Score: 0.6922 | Kept from Student| A crowd of people are gathered outdoors on the street.
Image 1809| Score: 0.6496 | Kept from Student| A large room with many stacks of suitcases.
Image 1810| Score: -0.5698 | Improved by Teacher| a man loads a pan of food into his kitchen stove
Image 1811| Score: 1.5291 | Kept from Student| A male tennis player in blue shirt and tan shorts on the court, looking down, with his tennis racket rested on his hip. 
Image 1812| Score: -1.6521 | Improved by Teacher| three giraffes some brown and green grass some bushes and trees
Image 1813| Score: -0.7284 | Improved by Teacher| A shack with a  floor covered with dirt and straws.
Image 1814| Score: 0.4654 | Improved by Teacher| Man eating many Asian foods with chopsticks waiting for someone.
Image 1815| Score: 1.4140 | Kept from Student| A group of sheep grazing next to a water body
Image 1816| Score: 0.9997 | Kept from Student| A large plate of vegetables and rice  with dipping sauce on the side.
Image 1817| Score: 0.7253 | Kept from Student| A full view of a dirty restroom that needs some cleaning.
Image 1818| Score: 0.9115 | Kept from Student| A white bowl filled with a vegetable salad.
Image 1819| Score: 0.6798 | Kept from Student| Two dogs are looking up while they stand near the toilet in the bathroom.
Image 1820| Score: -0.8832 | Improved by Teacher| A toilet that has a roll of toilet paper on top of it.
Image 1821| Score: 0.3631 | Improved by Teacher| the man is surfing on a small wave
Image 1822| Score: -0.4904 | Improved by Teacher| a person riding skis on a snow covered ground
Image 1823| Score: 1.2158 | Kept from Student| Yellow and green bird sitting in tall grass. 
Image 1824| Score: 1.3322 | Kept from Student| A cat is surrounded by a pile of shoes.
Image 1825| Score: -0.0650 | Improved by Teacher| A city street filled with lots of cars driving through the snow.
Image 1826| Score: 0.0533 | Improved by Teacher| A plethora of stop signs in a storage area.
Image 1827| Score: 1.6527 | Kept from Student| A man in black is skiing down the hill
Image 1828| Score: 1.8828 | Kept from Student| A boy in blue shirt eating a donut covered in sprinkles.
Image 1829| Score: 0.3612 | Improved by Teacher| A woman who is taking a picture of herself. 
Image 1830| Score: -0.4662 | Improved by Teacher| A medium sized boat parked near the dock 
Image 1831| Score: -1.1266 | Improved by Teacher| Black dog with pink doughnut on tile floor.
Image 1832| Score: 0.7467 | Kept from Student| Vintage black and white class picture probably from boy's school.
Image 1833| Score: 0.1207 | Improved by Teacher| A man on a horse in a field looking at something.
Image 1834| Score: 1.4293 | Kept from Student| The portrait is anachronistic in that a Victorian lady is photographed with a laptop computer.
Image 1835| Score: 0.5743 | Improved by Teacher| a child sitting at a table in a chair next to a plate of food
Image 1836| Score: 0.7954 | Kept from Student| A group of people pose while standing on the beach.
Image 1837| Score: -0.1081 | Improved by Teacher| A cat is sitting and watching a computer screen.
Image 1838| Score: -0.2637 | Improved by Teacher| An old tour bus for Buddy Holly and the Crickets
Image 1839| Score: 0.0760 | Improved by Teacher| Adult surfer riding small breaking wave on open ocean.
Image 1840| Score: 0.5379 | Improved by Teacher| a big clock hanging on a piece of wood in a building
Image 1841| Score: 0.9483 | Kept from Student| a bunch of men all around a table in a room
Image 1842| Score: 1.3351 | Kept from Student| meat and veggies in a wavy purple bowl
Image 1843| Score: 0.7379 | Kept from Student| a table top with some computers on top of it 
Image 1844| Score: 0.1522 | Improved by Teacher| A commercial kitchen bus line with men standing around it.
Image 1845| Score: -0.7457 | Improved by Teacher| A sign with the word York posted on a green stand with a crescent moon in the background. 
Image 1846| Score: -1.3235 | Improved by Teacher| A bedroom with a bed, a dresser, a desk, a mirror, and decorated walls.
Image 1847| Score: 0.0191 | Improved by Teacher| a man and a woman are holding a sword near a cake
Image 1848| Score: 0.3116 | Improved by Teacher| Opposing teammates playing a game of soccer on the field.
Image 1849| Score: -1.0604 | Improved by Teacher| Two skiers sitting on top of a snowy mountain.
Image 1850| Score: 1.3167 | Kept from Student| A single green motorcycle Ina full parking lot
Image 1851| Score: 0.0221 | Improved by Teacher| Two large salads on white plates with a slice of bread.
Image 1852| Score: 0.7039 | Kept from Student| Two horses grazing together in a field 
Image 1853| Score: -0.7651 | Improved by Teacher| a kid walks down a plaza next to a building 
Image 1854| Score: 0.7971 | Kept from Student| an image of a boy playing on a skateboard
Image 1855| Score: -0.3463 | Improved by Teacher| There is a flat screen tv and a wii consume under neath jt
Image 1856| Score: 0.4417 | Improved by Teacher| A large semi trailer with a massive green sign painted on it's side.
Image 1857| Score: 1.0327 | Kept from Student| a pasta dish with colorful vegtables on white plate
Image 1858| Score: 1.2964 | Kept from Student| A pizza covered with various toppings and some fruit wedges.
Image 1859| Score: 1.6414 | Kept from Student| Two young boys with hats sit on their horses. 
Image 1860| Score: 0.5866 | Improved by Teacher| Three black suitcases, two big and one small, sitting on a grey rug
Image 1861| Score: 0.5823 | Improved by Teacher| Two street signs atop a post beneath several trees.
Image 1862| Score: -0.6211 | Improved by Teacher| A baseball player moves to avoid getting hit by a ball
Image 1863| Score: 1.0061 | Kept from Student| A boy standing on skis in the snow.
Image 1864| Score: -0.6341 | Improved by Teacher| An old fighter jet mounted on display outside.
Image 1865| Score: 1.2126 | Kept from Student| A group of three men standing next to each other.
Image 1866| Score: 0.4631 | Improved by Teacher| An old steam locomotive pulling a coal car at a train station.
Image 1867| Score: -0.9283 | Improved by Teacher| A black and white cat hoarding the channel control on the couch.
Image 1868| Score: 1.5028 | Kept from Student| a train on a field of grass with mountains in the background
Image 1869| Score: 0.4397 | Improved by Teacher| a woman swinging a tennis racquet on a tennis court
Image 1870| Score: -0.9234 | Improved by Teacher| A woman with her shirt open laying on a bed in a pose with her head hanging off the bed.
Image 1871| Score: 0.7042 | Kept from Student| A man walking on the beach carrying a surfboard.
Image 1872| Score: 0.7915 | Kept from Student| many cars driving on a city street with a bus 
Image 1873| Score: -0.4628 | Improved by Teacher| An aerial view of a large pot of beans and cheddar cheese.
Image 1874| Score: 0.0616 | Improved by Teacher| THERE ARE PEOPLE THAT ARE AT THE BEACH 
Image 1875| Score: 1.2396 | Kept from Student| Three women cooking in a professional kitchen together.
Image 1876| Score: 0.3379 | Improved by Teacher| A white toilet sitting inside of a bathroom next to a sink.
Image 1877| Score: 0.0040 | Improved by Teacher| A group of people are playing a video game.
Image 1878| Score: 0.9333 | Kept from Student| An Asian street scene with many people on the street.
Image 1879| Score: 1.4862 | Kept from Student| An Asian intersection is full of mopeds and motorcycles.
Image 1880| Score: 0.9029 | Kept from Student| A man next to a bicycle is changing his outfit by the road.
Image 1881| Score: 1.5153 | Kept from Student| A rusted, primer colored truck parked in front of a house.
Image 1882| Score: 0.8177 | Kept from Student| Woman in hotel bathroom opening a bottle with mounted bottle opener.
Image 1883| Score: 1.8564 | Kept from Student| People riding on top of elephants across a river.
Image 1884| Score: 0.9346 | Kept from Student| A room with a stone fireplace and living room furniture.
Image 1885| Score: 1.0985 | Kept from Student| A female tennis player is trying to hit the ball. 
Image 1886| Score: 0.6049 | Improved by Teacher| A dog lies in front of a horse stable door.
Image 1887| Score: 0.9017 | Kept from Student| a glass vase with some flowers coming out of it 
Image 1888| Score: 1.3230 | Kept from Student| Shirtless man pushing his bike on a city street. 
Image 1889| Score: 0.5396 | Improved by Teacher| There is a plastic cup holding toothpaste and two toothbrushes.
Image 1890| Score: 0.4436 | Improved by Teacher| a jumbo jet flies through the sky with the moon peeking out
Image 1891| Score: -0.3320 | Improved by Teacher| A meal with a cheesy sandwich, salad, and water.
Image 1892| Score: 0.5816 | Improved by Teacher| A meal of chicken topped by a fried egg.
Image 1893| Score: 1.3184 | Kept from Student| A vegetable pizza is cut and ready to eat.
Image 1894| Score: 1.2446 | Kept from Student| The camera on the computer is showing the people at the event.
Image 1895| Score: 1.3226 | Kept from Student| There are two baby bears in a field.
Image 1896| Score: 1.3069 | Kept from Student| this tabby cat must trust this man since she is showing her stomach
Image 1897| Score: 1.6533 | Kept from Student| The white teddy bear sits atop a leather upholstered chair.
Image 1898| Score: -0.2998 | Improved by Teacher| A sign for the Public Car Park entrance
Image 1899| Score: 0.5359 | Improved by Teacher| Two men playing doubles tennis in front of a crowd.
Image 1900| Score: -0.6145 | Improved by Teacher| A man with a racket walks on a court with a towel.
Image 1901| Score: -0.2754 | Improved by Teacher| A batter and catcher talking to the umpire at home plate.
Image 1902| Score: 0.8041 | Kept from Student| A group of young boys standing next to each other in front of a building.
Image 1903| Score: 0.0053 | Improved by Teacher| The rams are hugged by the shepherd in the country enclosure.
Image 1904| Score: 1.0168 | Kept from Student| A young boy with a downed kite on a string
Image 1905| Score: 1.6978 | Kept from Student| A lady blowing on a slice of pizza on a paper plate.
Image 1906| Score: -0.5955 | Improved by Teacher| Baseball batter ready to strike arriving ball and umpire waiting to catch if he misses.
